12:13:02 | INFO | SearchResultItemComponent:28             | Get author, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][5]//span[contains(text(), 'by')]//following-sibling::*[1]
12:13:02 | INFO | SearchResultItemComponent:28             | Get prices, elements --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][5]//span[@class='a-price']
12:13:02 | INFO | SearchResultItemComponent:28             | Is best seller, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][6]//span[text()='Best Seller']
12:13:02 | INFO | SearchResultItemComponent:28             | Is element visible, condition --> visible, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][6]//span[text()='Best Seller']
12:13:02 | INFO | SearchResultItemComponent:28             | Get book name, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][6]//h2//span
12:13:02 | INFO | SearchResultItemComponent:28             | Get author, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][6]//span[contains(text(), 'by')]//following-sibling::*[1]
12:13:02 | INFO | SearchResultItemComponent:28             | Get prices, elements --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][6]//span[@class='a-price']
12:13:03 | INFO | SearchResultItemComponent:28             | Is best seller, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][7]//span[text()='Best Seller']
12:13:03 | INFO | SearchResultItemComponent:28             | Is element visible, condition --> visible, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][7]//span[text()='Best Seller']
12:13:03 | INFO | SearchResultItemComponent:28             | Get book name, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][7]//h2//span
12:13:03 | INFO | SearchResultItemComponent:28             | Get author, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][7]//span[contains(text(), 'by')]//following-sibling::*[1]
12:13:03 | INFO | SearchResultItemComponent:28             | Get prices, elements --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][7]//span[@class='a-price']
12:13:03 | INFO | SearchResultItemComponent:28             | Is best seller, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][8]//span[text()='Best Seller']
12:13:03 | INFO | SearchResultItemComponent:28             | Is element visible, condition --> visible, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][8]//span[text()='Best Seller']
12:13:03 | INFO | SearchResultItemComponent:28             | Get book name, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][8]//h2//span
12:13:04 | INFO | SearchResultItemComponent:28             | Get author, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][8]//span[contains(text(), 'by')]//following-sibling::*[1]
12:13:04 | INFO | SearchResultItemComponent:28             | Get prices, elements --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][8]//span[@class='a-price']
12:13:04 | INFO | SearchResultItemComponent:28             | Is best seller, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][9]//span[text()='Best Seller']
12:13:04 | INFO | SearchResultItemComponent:28             | Is element visible, condition --> visible, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][9]//span[text()='Best Seller']
12:13:04 | INFO | SearchResultItemComponent:28             | Get book name, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][9]//h2//span
12:13:04 | INFO | SearchResultItemComponent:28             | Get author, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][9]//span[contains(text(), 'by')]//following-sibling::*[1]
12:13:04 | INFO | SearchResultItemComponent:28             | Get prices, elements --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][9]//span[@class='a-price']
12:13:04 | INFO | SearchResultItemComponent:28             | Is best seller, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][10]//span[text()='Best Seller']
12:13:04 | INFO | SearchResultItemComponent:28             | Is element visible, condition --> visible, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][10]//span[text()='Best Seller']
12:13:04 | INFO | SearchResultItemComponent:28             | Get book name, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][10]//h2//span
12:13:05 | INFO | SearchResultItemComponent:28             | Get author, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][10]//span[contains(text(), 'by')]//following-sibling::*[1]
12:13:05 | INFO | SearchResultItemComponent:28             | Get prices, elements --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][10]//span[@class='a-price']
12:13:05 | INFO | SearchResultItemComponent:28             | Is best seller, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][11]//span[text()='Best Seller']
12:13:05 | INFO | SearchResultItemComponent:28             | Is element visible, condition --> visible, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][11]//span[text()='Best Seller']
12:13:05 | INFO | SearchResultItemComponent:28             | Get book name, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][11]//h2//span
12:13:05 | INFO | SearchResultItemComponent:28             | Get author, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][11]//span[contains(text(), 'by')]//following-sibling::*[1]
12:13:05 | INFO | SearchResultItemComponent:28             | Get prices, elements --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][11]//span[@class='a-price']
12:13:05 | INFO | SearchResultItemComponent:28             | Is best seller, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][12]//span[text()='Best Seller']
12:13:05 | INFO | SearchResultItemComponent:28             | Is element visible, condition --> visible, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][12]//span[text()='Best Seller']
12:13:05 | INFO | SearchResultItemComponent:28             | Get book name, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][12]//h2//span
12:13:06 | INFO | SearchResultItemComponent:28             | Get author, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][12]//span[contains(text(), 'by')]//following-sibling::*[1]
12:13:06 | INFO | SearchResultItemComponent:28             | Get prices, elements --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][12]//span[@class='a-price']
12:13:06 | INFO | SearchResultItemComponent:28             | Is best seller, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][13]//span[text()='Best Seller']
12:13:06 | INFO | SearchResultItemComponent:28             | Is element visible, condition --> visible, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][13]//span[text()='Best Seller']
12:13:06 | INFO | SearchResultItemComponent:28             | Get book name, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][13]//h2//span
12:13:06 | INFO | SearchResultItemComponent:28             | Get author, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][13]//span[contains(text(), 'by')]//following-sibling::*[1]
12:13:06 | INFO | SearchResultItemComponent:28             | Get prices, elements --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][13]//span[@class='a-price']
12:13:06 | INFO | SearchResultItemComponent:28             | Is best seller, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][14]//span[text()='Best Seller']
12:13:06 | INFO | SearchResultItemComponent:28             | Is element visible, condition --> visible, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][14]//span[text()='Best Seller']
12:13:06 | INFO | SearchResultItemComponent:28             | Get book name, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][14]//h2//span
12:13:06 | INFO | SearchResultItemComponent:28             | Get author, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][14]//span[contains(text(), 'by')]//following-sibling::*[1]
12:13:06 | INFO | SearchResultItemComponent:28             | Get prices, elements --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][14]//span[@class='a-price']
12:13:06 | INFO | SearchResultItemComponent:28             | Is best seller, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][15]//span[text()='Best Seller']
